fecha,provincia,concepto,categoria,valor_real,variacion_interanual_pct,fuente
2020-11,San Juan,Ingresos Brutos,Impuesto provincial,22448144350,,Carga de usuario
2020-11,San Juan,Inmobiliario,Impuesto provincial,1222481422,,Carga de usuario
2020-11,San Juan,Automotor,Impuesto provincial,2584364304,,Carga de usuario
2020-11,San Juan,Sellos,Impuesto provincial,2221654600,,Carga de usuario
2020-11,San Juan,DJ,Otros recursos provinciales,0,,Carga de usuario
2020-11,San Juan,Otros impuestos,Otros recursos provinciales,0,,Carga de usuario
2020-11,San Juan,Total,Total recursos provinciales,32943079547,,Carga de usuario
2020-12,San Juan,Ingresos Brutos,Impuesto provincial,24514763926,,Carga de usuario
2020-12,San Juan,Inmobiliario,Impuesto provincial,1222258369,,Carga de usuario
2020-12,San Juan,Automotor,Impuesto provincial,2583440828,,Carga de usuario
2020-12,San Juan,Sellos,Impuesto provincial,2521891826,,Carga de usuario
2020-12,San Juan,DJ,Otros recursos provinciales,0,,Carga de usuario
2020-12,San Juan,Otros impuestos,Otros recursos provinciales,0,,Carga de usuario
2020-12,San Juan,Total,Total recursos provinciales,35404961092,,Carga de usuario
2021-01,San Juan,Ingresos Brutos,Impuesto provincial,26231165075,2.6,Carga de usuario
2021-01,San Juan,Inmobiliario,Impuesto provincial,787726702.30,-38.4,Carga de usuario
2021-01,San Juan,Automotor,Impuesto provincial,1585012449,-22.2,Carga de usuario
2021-01,San Juan,Sellos,Impuesto provincial,2624829059,2.5,Carga de usuario
2021-01,San Juan,DJ,Otros recursos provinciales,0,,Carga de usuario
2021-01,San Juan,Otros impuestos,Otros recursos provinciales,0,,Carga de usuario
2021-01,San Juan,Total,Total recursos provinciales,36138336349,-0.4,Carga de usuario
2021-02,San Juan,Ingresos Brutos,Impuesto provincial,22589065670,4.6,Carga de usuario
2021-02,San Juan,Inmobiliario,Impuesto provincial,6973934502,130.4,Carga de usuario
2021-02,San Juan,Automotor,Impuesto provincial,2096832709,13.2,Carga de usuario
2021-02,San Juan,Sellos,Impuesto provincial,2401833048,1.3,Carga de usuario
2021-02,San Juan,DJ,Otros recursos provinciales,0,,Carga de usuario
2021-02,San Juan,Otros impuestos,Otros recursos provinciales,0,,Carga de usuario
2021-02,San Juan,Total,Total recursos provinciales,38457709259,16.0,Carga de usuario
2021-03,San Juan,Ingresos Brutos,Impuesto provincial,22806060947,5.4,Carga de usuario
2021-03,San Juan,Inmobiliario,Impuesto provincial,1763912412,-20.8,Carga de usuario
2021-03,San Juan,Automotor,Impuesto provincial,10590087724,215.1,Carga de usuario
2021-03,San Juan,Sellos,Impuesto provincial,3291587650,58.3,Carga de usuario
2021-03,San Juan,DJ,Otros recursos provinciales,0,,Carga de usuario
2021-03,San Juan,Otros impuestos,Otros recursos provinciales,0,,Carga de usuario
2021-03,San Juan,Total,Total recursos provinciales,43913827649,39.0,Carga de usuario
2021-04,San Juan,Ingresos Brutos,Impuesto provincial,26109533076,17.8,Carga de usuario
2021-04,San Juan,Inmobiliario,Impuesto provincial,1163440119,-49.8,Carga de usuario
2021-04,San Juan,Automotor,Impuesto provincial,3458726719,22.1,Carga de usuario
2021-04,San Juan,Sellos,Impuesto provincial,2741352122,62.3,Carga de usuario
2021-04,San Juan,DJ,Otros recursos provinciales,0,,Carga de usuario
2021-04,San Juan,Otros impuestos,Otros recursos provinciales,0,,Carga de usuario
2021-04,San Juan,Total,Total recursos provinciales,38613290900,17.4,Carga de usuario
2021-05,San Juan,Ingresos Brutos,Impuesto provincial,23209085298,16.0,Carga de usuario
2021-05,San Juan,Inmobiliario,Impuesto provincial,1014535751,-51.2,Carga de usuario
2021-05,San Juan,Automotor,Impuesto provincial,2814179138,-58.0,Carga de usuario
2021-05,San Juan,Sellos,Impuesto provincial,2309429499,28.0,Carga de usuario
2021-05,San Juan,DJ,Otros recursos provinciales,0,,Carga de usuario
2021-05,San Juan,Otros impuestos,Otros recursos provinciales,0,,Carga de usuario
2021-05,San Juan,Total,Total recursos provinciales,33876989851,-2.7,Carga de usuario
2021-06,San Juan,Ingresos Brutos,Impuesto provincial,25024878646,22.7,Carga de usuario
2021-06,San Juan,Inmobiliario,Impuesto provincial,1131027322,-22.7,Carga de usuario
2021-06,San Juan,Automotor,Impuesto provincial,3310146672,-8.8,Carga de usuario
2021-06,San Juan,Sellos,Impuesto provincial,2491286850,9.8,Carga de usuario
2021-06,San Juan,DJ,Otros recursos provinciales,0,,Carga de usuario
2021-06,San Juan,Otros impuestos,Otros recursos provinciales,0,,Carga de usuario
2021-06,San Juan,Total,Total recursos provinciales,36714594687,15.0,Carga de usuario
2021-07,San Juan,Ingresos Brutos,Impuesto provincial,25596286879,20.6,Carga de usuario
2021-07,San Juan,Inmobiliario,Impuesto provincial,1249370988,-11.4,Carga de usuario
2021-07,San Juan,Automotor,Impuesto provincial,3644175468,-0.2,Carga de usuario
2021-07,San Juan,Sellos,Impuesto provincial,2562795098,24.1,Carga de usuario
2021-07,San Juan,DJ,Otros recursos provinciales,0,,Carga de usuario
2021-07,San Juan,Otros impuestos,Otros recursos provinciales,0,,Carga de usuario
2021-07,San Juan,Total,Total recursos provinciales,38073909380,17.0,Carga de usuario
2021-08,San Juan,Ingresos Brutos,Impuesto provincial,25376714534,18.5,Carga de usuario
2021-08,San Juan,Inmobiliario,Impuesto provincial,1386135179,-1.4,Carga de usuario
